"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","year","model"
"94","Crassostrea-77","Cupped oysters",1.10023636068637,1.49275480460002,1.71962011095077,1.83670569320976,1.93326665146329,0.231671848267932,1.64893874940503,1982,"COM-SIR"
"95","Crassostrea-77","Cupped oysters",1.07551393947524,1.48444854983487,1.71591782703292,1.83503234425403,1.93232870686267,0.236544836102729,1.64402363322073,1983,"COM-SIR"
"96","Crassostrea-77","Cupped oysters",1.05110801366198,1.47963397476263,1.71477059799324,1.8330187808533,1.93140762648555,0.241362366609088,1.6392734535657,1984,"COM-SIR"
"97","Crassostrea-77","Cupped oysters",1.02706681442297,1.47287417249428,1.71179657392849,1.83117287089374,1.93050395497924,0.246114714463861,1.63468807596681,1985,"COM-SIR"
"98","Crassostrea-77","Cupped oysters",1.00343578526817,1.46798411567239,1.71091991688317,1.82945058153307,1.92961818158924,0.250792767532177,1.63026684561576,1986,"COM-SIR"
"99","Crassostrea-77","Cupped oysters",0.98025728582478,1.46318476311583,1.70925458732152,1.82828257501823,1.92875074007794,0.255388293444166,1.62600852778071,1987,"COM-SIR"
"100","Crassostrea-77","Cupped oysters",0.969476970428626,1.45962643077724,1.70647491167893,1.82737186419767,1.92790200897626,0.259894170268434,1.62191129182483,1988,"COM-SIR"
"101","Crassostrea-77","Cupped oysters",0.961192659741759,1.45636080685101,1.70489172495713,1.8265801205092,1.92707231215066,0.264304515284434,1.61797273846859,1989,"COM-SIR"
"102","Crassostrea-77","Cupped oysters",0.953732714585477,1.45580826509186,1.70308045052518,1.82585755769734,1.92626191966592,0.268614688286791,1.61418996062167,1990,"COM-SIR"
"103","Crassostrea-77","Cupped oysters",0.937346398948653,1.45063113361123,1.70119402895678,1.82519953524718,1.92547104892135,0.272821190654865,1.61055962327065,1991,"COM-SIR"
"104","Crassostrea-77","Cupped oysters",0.918865134472529,1.44813010002691,1.70012783107597,1.82460153563324,1.92469986603695,0.276921505332835,1.60707804837251,1992,"COM-SIR"
"105","Crassostrea-77","Cupped oysters",0.900890938448141,1.44584805337285,1.69818812478487,1.82405918880437,1.92394848746446,0.280913922370709,1.60374129464817,1993,"COM-SIR"
"106","Crassostrea-77","Cupped oysters",0.883438282597966,1.44402305482574,1.69621185772671,1.82329457537224,1.92321698179758,0.284797379964973,1.60054522700441,1994,"COM-SIR"
"107","Crassostrea-77","Cupped oysters",0.866519326335374,1.43985567297658,1.69392627917395,1.82263368727946,1.92250537175511,0.288571333922793,1.59748557425547,1995,"COM-SIR"
"108","Crassostrea-77","Cupped oysters",0.850143972622961,1.43812369952191,1.69279708840354,1.82234601470578,1.92181363631091,0.292235656015071,1.59455797627306,1996,"COM-SIR"
"109","Crassostrea-77","Cupped oysters",0.834319942538311,1.43721978715666,1.69203932148443,1.82158495389955,1.92112862594076,0.295790555349927,1.59175802283629,1997,"COM-SIR"
"110","Crassostrea-77","Cupped oysters",0.819052865558882,1.43716846052023,1.69134184308834,1.82116123102911,1.92030838688526,0.299236515432475,1.58908128669805,1998,"COM-SIR"
"111","Crassostrea-77","Cupped oysters",0.804346382625253,1.43588016511577,1.69010818044224,1.82075680191866,1.91950840928406,0.302574241006962,1.58652335308646,1999,"COM-SIR"
