Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.03,0.03,0.04,0.05,0.264124,6.69794,15.6427,11.4064,17.2607,21.844,23.5691,21.9443,24.846,29.3956,32.3411,52.2727,54.9431,63.0488,69.8251,74.5506,82.6517,71.731,75.8817,75.47,79.3093,79.157,80.982,84.3847,88.7414,94.1952,100.18,105.958,111.897,118.959,127.075,135.687,145.876,157.188
Percentage of GDP,21.5717,17.3659,13.7896,10.8163,9.75851,17.1728,17.8894,11.594,15.985,17.6432,17.1283,15.4997,16.2903,18.0441,18.1464,26.7852,26.2382,27.9824,28.6148,27.8247,29.1601,25.3544,26.9426,26.3207,27.577,27.5435,28.279,28.6118,28.958,29.5258,30.1662,30.6601,31.1513,31.8856,32.7943,33.7143,34.8979,36.2108
US$ in bn (Nominal),2.8635,3.0736,3.423,1.96295,1.00314,1.87138,2.60798,2.18064,3.17634,3.54577,3.70391,3.08569,3.0015,3.52401,4.10854,7.79611,9.10507,10.594,11.9674,13.9039,16.747,13.5717,13.8027,14.1215,13.5552,13.8741,14.1297,13.111,13.4662,14.0519,14.7654,15.5542,16.3604,17.3235,18.4592,19.6786,21.1225,22.724
Percentage growth,-100,-19.497,-20.4514,-27.2951,-18.1442,43.1633,4.7188,-31.8119,46.0349,18.0138,-0.766464,-9.86897,8.66492,15.3391,6.96279,55.358,1.27249,11.0426,6.46455,2.55305,4.49537,-16.0464,4.99277,-2.45549,2.74061,-0.76133,2.28788,2.21294,3.07867,4.21759,4.26536,3.49142,3.31359,4.00433,4.50468,4.45985,5.17625,5.41621
Local currency in bn,61.1485,49.2264,44.176,28.8594,21.9066,32.7337,44.8843,26.4174,38.588,45.4476,45.1947,40.5421,37.5437,42.6272,45.3081,70.3897,71.2854,79.1572,84.2743,86.4259,90.3111,75.8194,79.6049,77.6502,79.7783,79.1709,80.9822,82.7743,85.3227,88.9212,92.714,95.951,99.1305,103.1,107.744,112.55,118.375,124.787
US$ in bn,9.81919,7.90474,6.28811,4.57176,3.74225,5.35753,5.61034,3.82559,5.58669,6.59307,6.54254,5.89686,6.40781,7.39071,7.90531,12.2815,12.4378,13.8113,14.7041,15.0795,15.7574,13.2289,13.8894,13.5483,13.9196,13.8137,14.1297,14.4424,14.887,15.5149,16.1767,16.7414,17.2962,17.9888,18.7991,19.6375,20.654,21.7727
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.930372,1.16318,1.44887,1.30858,1.73201,1.83358,2.15285,2.10753,2.14486,2.35518,2.46348,2.8113,3.29571,3.56248,3.34379,3.14532,3.17595,3.28759,3.29977,3.55247,3.43124,2.9286,2.79948,2.97816,3.31315,3.47236,3.40491,3.61884,3.9392,4.20525,4.45468,4.71912,5.00742,5.3128,5.62225,5.93444,6.25298,6.63974
Percentage of GDP,27.3304,30.1741,33.1806,28.6345,32.6699,32.6646,34.3968,29.7354,29.0415,30.4542,29.4424,31.211,33.781,33.7744,30.6989,27.0438,25.3624,24.5304,22.8636,22.4417,19.9992,17.377,16.0836,16.6584,18.6972,21.0399,21.3094,22.422,23.7846,24.7095,25.2082,25.5425,25.5241,25.404,25.2846,25.1953,25.2691,25.5397
US$ in bn (Nominal),1.16693,1.37635,1.85117,1.64907,2.25492,2.1575,2.56,2.72641,2.69205,2.6823,2.78435,3.03046,3.04396,3.19067,3.1618,3.55786,3.95058,4.09006,4.14319,4.86858,5.04891,4.08475,3.71148,4.14546,4.2567,4.61171,4.53387,4.46926,4.75659,4.99373,5.22636,5.51436,5.82788,6.15858,6.50101,6.85102,7.20722,7.64075
Percentage growth,-100,19.4622,18.0433,-13.0934,24.8496,0.684334,11.4018,-5.69756,-0.558525,7.30107,1.49155,11.1197,13.6592,4.00603,-7.17171,-10.2619,-2.24769,0.453186,-2.94555,3.15384,-7.68646,-14.7248,-6.2328,4.03133,9.53098,6.44072,-1.65518,5.54274,7.56166,4.9697,3.85384,3.85899,3.82517,3.51125,3.54631,3.48275,3.30161,4.10321
Local currency in bn,2.05122,2.45043,2.89257,2.51384,3.13852,3.15999,3.52029,3.31972,3.30118,3.5422,3.59503,3.99479,4.54044,4.72233,4.38366,3.93382,3.8454,3.86282,3.74904,3.86728,3.57002,3.04434,2.8546,2.96967,3.25271,3.46221,3.40491,3.59363,3.86537,4.05747,4.21383,4.37645,4.54385,4.7034,4.8702,5.03981,5.20621,5.41983
US$ in bn,2.73135,3.26292,3.85167,3.34735,4.17915,4.20775,4.68751,4.42044,4.39575,4.71668,4.78704,5.31934,6.04592,6.28812,5.83715,5.23815,5.12041,5.14362,4.99211,5.14955,4.75374,4.05376,3.8011,3.95433,4.33122,4.61018,4.53387,4.78517,5.14701,5.4028,5.61102,5.82755,6.05046,6.26291,6.48501,6.71087,6.93243,7.21688
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),65.3511,40.578,40.7483,55.9937,66.257,92.2997,117.757,138.444,174.539,196.543,214.45,210.473,264.831,273.485,272.846,278.47,294.045,308.222,332.965,335.915,344.893,349.38,331.736,331.222,320.54,329.192,341.423,361.582,392.629,417.377,443.525,468.891,492.975,516.257,537.791,558.855,580.785,603.4
Percentage of GDP,12.5002,7.76166,7.18286,7.81381,8.37636,10.1428,9.9566,8.76702,9.63556,10.072,10.0173,9.43023,11.1507,10.6626,10.2015,9.9416,9.63114,9.46792,9.48458,8.75917,8.5962,8.90221,8.39709,8.23994,7.91825,8.0559,7.98575,8.14526,8.44045,8.566,8.68552,8.75746,8.79226,8.80952,8.79533,8.76447,8.73192,8.69759
US$ in bn (Nominal),2.25364,1.39934,1.40521,1.93095,2.28488,3.1662,4.09087,5.21644,6.42985,6.20036,6.64319,6.08845,6.8617,7.19022,8.33408,9.87167,11.4416,12.8654,14.7358,16.5527,20.2026,18.3277,17.37,18.7174,16.3729,16.8208,16.4473,15.2392,16.5594,17.7153,18.7476,19.7378,20.6674,21.5568,22.3999,23.24,24.1133,25.0122
Percentage growth,-100,-37.9078,-8.58594,-3.8224,6.66035,21.1565,0.344894,-6.69669,14.3527,3.77013,-0.8256,-4.65261,23.7401,-1.47523,-2.83813,0.959816,1.53461,4.68935,7.27229,-2.56447,0.629219,-1.30818,-3.65862,0.07,-4.6073,1.02219,1.38747,4.81752,6.66741,4.30688,4.18188,3.59783,3.07732,2.77502,2.28164,2.03724,2.0002,1.96425
Local currency in bn,370.643,230.14,210.381,202.339,215.816,261.475,262.377,244.806,279.942,290.497,288.098,274.694,339.907,334.892,325.388,328.511,333.552,349.193,374.588,364.982,367.278,362.474,349.212,349.444,333.344,336.751,341.424,357.872,381.732,398.173,414.824,429.749,442.974,455.266,465.654,475.14,484.644,494.164
US$ in bn,17.8549,11.0865,10.1346,9.74724,10.3964,12.596,12.6394,11.793,13.4856,13.994,13.8785,13.2328,16.3743,16.1327,15.6748,15.8253,16.0681,16.8216,18.0449,17.5822,17.6928,17.4614,16.8225,16.8337,16.0581,16.2223,16.4473,17.2397,18.3891,19.1811,19.9833,20.7022,21.3393,21.9315,22.4319,22.8888,23.3467,23.8053
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),57.6983,61.3159,64.7959,73.7011,72.6775,72.0967,75.6784,75.3056,85.166,88.2845,92.7588,96.339,117.355,117.497,112.063,100.111,104.612,109.142,108.958,107.272,108.303,106.917,119.206,120.873,128.419,122.947,129.849,136.574,143.241,150.106,157.751,165.417,173.098,181.256,189.561,197.769,206.222,214.45
Percentage of GDP,7.52768,7.59059,7.57353,8.27589,7.87393,7.76514,7.61898,7.26548,7.82758,7.70284,7.82123,7.75976,8.8442,8.56691,7.94621,6.9679,6.94997,6.87924,6.47511,6.16768,6.02502,6.23706,6.62756,6.59279,6.87916,6.51759,6.7869,6.84982,6.84547,6.87817,6.9603,7.04289,7.11842,7.20254,7.28088,7.34397,7.40544,7.44971
US$ in bn (Nominal),8.57135,8.3875,10.4703,11.5229,12.0401,11.1204,11.898,13.4412,14.6872,13.3666,13.8424,13.8096,14.519,14.1176,14.2036,15.2,17.4589,18.2003,18.3226,19.7058,21.2436,19.9439,21.1957,22.5518,22.1686,21.8899,23.1045,21.5247,22.0495,22.7164,23.5881,24.6361,25.6783,26.7814,27.9386,29.1017,30.297,31.4554
Percentage growth,-100,0.971497,0.206268,10.7098,-2.99727,-1.36662,3.35144,-1.75533,10.8653,1.61169,3.79073,2.14373,18.2458,-2.3429,-6.81523,-11.9683,2.37804,1.39558,-2.30318,-3.96095,-3.03289,-1.73671,7.99529,0.616417,3.65862,-5.71443,4.99825,2.67875,2.2271,2.68428,3.13899,3.02289,2.86806,2.93782,2.80824,2.55943,2.50589,2.22602
Local currency in bn,101.922,102.912,103.124,114.168,110.746,109.233,112.894,110.912,122.963,124.945,129.681,132.461,156.63,152.96,142.536,125.476,128.46,130.253,127.253,122.213,118.506,116.448,125.758,126.533,131.163,123.668,129.849,133.327,136.297,139.955,144.348,148.712,152.977,157.471,161.893,166.037,170.198,173.986
US$ in bn,18.1354,18.3115,18.3493,20.3145,19.7056,19.4363,20.0877,19.7351,21.8794,22.232,23.0748,23.5694,27.8698,27.2169,25.362,22.3266,22.8575,23.1765,22.6427,21.7458,21.0863,20.7201,22.3767,22.5147,23.3384,22.0047,23.1046,23.7235,24.2518,24.9028,25.6845,26.4609,27.2199,28.0195,28.8064,29.5437,30.284,30.9581
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0.09,0.146461,0.167972,0.194871,0.417538,0.535147,0.692435,0.789386,0.917447,1.10174,1.19351,1.32191,1.40366,1.60347,1.81774,2.03249,2.03873,2.20392,2.01809,2.01622,2.16424,2.35119,2.59518,2.69843,2.72702,2.99419,3.24669,3.48958,3.67694,3.86862,4.06336,4.27476,4.5047,4.75593,5.02497
Percentage of GDP,2.69565,4.91208,6.16445,78.0213,17.4914,11.516,9.72607,15.0872,14.7111,15.4534,15.6864,17.1213,17.8648,17.1132,16.9916,16.0894,16.5439,16.2457,15.1721,12.6856,13.5714,14.4424,13.8759,13.3616,13.4661,13.9425,14.1691,13.642,13.9964,14.1541,14.2018,13.9697,13.7879,13.6323,13.5131,13.4434,13.4121,13.4193
US$ in bn (Nominal),0,0,0,0.105587,0.189958,0.196931,0.231599,0.546257,0.679359,0.785426,0.884476,0.978248,1.01723,1.06875,1.24872,1.58758,1.99391,2.26263,2.55257,2.79366,3.24153,2.81236,2.67336,3.01257,3.0208,3.44641,3.59314,3.36787,3.61549,3.85544,4.09408,4.29655,4.50248,4.71024,4.94291,5.20045,5.48171,5.78253
Percentage growth,-100,89.2165,80.0054,2538.98,79.9064,-38.1783,-16.9294,65.2502,3.24917,17.3752,8.41807,8.85357,14.7142,1.74796,5.48093,2.35108,9.21979,6.91867,2.93123,-10.3114,2.55267,-8.55443,-0.733505,4.64143,5.32793,5.86391,3.45926,-1.12483,6.49626,5.07028,4.35075,2.29984,2.64738,2.8261,2.99165,3.16431,3.35841,3.43651
Local currency in bn,0.321833,0.604442,0.704974,8.20877,1.45074,0.900305,0.747889,1.23589,1.27604,1.49776,1.62384,1.76761,2.0277,2.06314,2.17622,2.22739,2.43275,2.60106,2.67731,2.40124,2.46253,2.25188,2.23536,2.33911,2.46374,2.60821,2.69844,2.66808,2.84141,2.98548,3.11537,3.18702,3.27139,3.36384,3.46447,3.5741,3.69413,3.82108
US$ in bn,0.01,0.02,0.04,1.07787,1.93915,1.19882,0.995865,1.64567,1.69914,1.99437,2.16226,2.35369,2.70002,2.74722,2.89779,2.96592,3.23937,3.46349,3.56502,3.19741,3.27903,2.99853,2.97654,3.11469,3.28064,3.47301,3.59315,3.55273,3.78353,3.97536,4.14832,4.24373,4.35608,4.47918,4.61318,4.75916,4.91899,5.08803
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),4.57046,5.70509,5.49451,5.66335,7.26336,6.80614,7.37335,7.37086,8.23226,9.02167,10.2955,11.0486,12.3998,12.4105,12.3875,11.9704,11.7954,11.5909,11.5276,12.6108,12.0841,11.4464,11.6047,12.0819,12.2747,13.174,13.2801,13.905,14.8204,15.6692,16.5225,17.3183,18.1434,18.9273,19.7167,20.5452,21.3632,22.2285
Percentage of GDP,5.88734,6.57624,6.03726,6.51244,8.56004,7.93737,8.1233,7.47886,8.0661,8.14686,8.55239,8.705,9.10005,8.59231,8.35361,7.89769,7.44296,7.051,6.67825,6.75879,6.23821,6.32295,6.2024,6.13703,6.16607,6.54311,6.52012,6.69243,6.91293,7.03773,7.13078,7.17153,7.2074,7.21876,7.22584,7.24196,7.25439,7.27514
US$ in bn (Nominal),5.41085,6.28928,6.99447,7.02543,9.4205,7.97955,8.76303,9.64316,10.4507,10.2332,11.5357,11.7809,11.4487,11.1132,11.7016,13.5389,14.6675,14.4278,14.4773,17.2805,17.7733,15.9514,15.387,16.8177,15.7705,17.4951,17.6833,17.1727,17.8956,18.6071,19.3847,20.2367,21.1161,21.9405,22.7985,23.7184,24.6234,25.5796
Percentage growth,-100,17.7273,-9.08658,1.49197,27.0746,-7.95123,6.39175,-4.07108,11.7968,7.33355,10.6566,6.31074,10.4332,-3.15116,-1.1433,-3.57583,-2.05444,-2.63148,-1.44265,6.45763,-7.05,-7.02064,1.03208,1.48947,-1.00119,4.8446,-0.30616,3.18154,4.50304,3.67434,3.4224,2.83047,2.80274,2.39127,2.26913,2.32381,2.12769,2.19904
Local currency in bn,7.75524,9.13004,8.30043,8.42427,10.7051,9.85392,10.4838,10.057,11.2434,12.0679,13.3539,14.1967,15.6778,15.1838,15.0102,14.4734,14.1761,13.8031,13.6039,14.4824,13.4614,12.5163,12.6455,12.8339,12.7054,13.3209,13.2801,13.7026,14.3197,14.8458,15.3539,15.7885,16.231,16.6191,16.9962,17.3912,17.7612,18.1518
US$ in bn,10.3266,12.1572,11.0526,11.2175,14.2545,13.1211,13.9598,13.3915,14.9713,16.0692,17.7816,18.9038,20.876,20.2182,19.987,19.2723,18.8764,18.3797,18.1145,19.2843,17.9247,16.6663,16.8383,17.0891,16.918,17.7376,17.6833,18.2459,19.0675,19.7681,20.4447,21.0234,21.6126,22.1294,22.6316,23.1575,23.6502,24.1703
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),81.8581,93.8546,89.5961,93.7944,118.03,116.329,112.4,118.927,119.789,131.501,131.704,142.158,156.724,162.531,158.43,154.199,166.696,162.543,166.199,172.668,181.634,180.383,174.207,196.358,185.127,189.497,191.381,198.406,205.321,212.419,219.263,227.537,236.377,246.468,257.32,269.386,279.835,291.43
Percentage of GDP,8.81655,9.36533,8.46165,8.5426,10.3865,10.1321,9.48248,9.70537,9.51165,10.1175,9.68993,10.1031,10.5426,10.515,9.92981,9.41229,9.76013,9.18465,8.9608,8.87181,9.10699,9.3018,8.72196,9.54118,8.85651,8.96,8.93486,9.09682,9.14772,9.17395,9.17327,9.21282,9.25705,9.33165,9.41989,9.53643,9.58453,9.67708
US$ in bn (Nominal),96.9096,103.465,114.055,116.353,153.083,136.385,133.584,155.59,152.07,149.161,147.569,151.579,144.703,145.542,149.658,174.404,207.287,202.324,208.726,236.606,267.147,251.377,230.986,273.326,237.85,251.653,254.836,245.032,247.926,252.248,257.246,265.88,275.107,285.705,297.54,310.993,322.54,335.367
Percentage growth,-100,11.0036,-7.04256,2.05381,23.4136,-3.02766,-4.27575,4.59718,-0.641022,8.82267,-0.802284,7.71523,8.57578,1.66274,-4.4929,-4.46423,6.36037,-4.34973,0.09,1.29729,2.7366,-0.783089,-4.45898,11.6654,-6.8327,1.55871,0.111839,3.00261,2.2436,1.83954,1.55402,2.07176,2.16314,2.53582,2.66721,2.94859,2.15234,2.41233
Local currency in bn,122.68,136.179,126.589,129.189,159.436,154.609,147.998,154.802,153.81,167.38,166.037,178.847,194.185,197.414,188.544,180.127,191.584,183.25,183.407,185.786,190.87,189.376,180.931,202.038,188.233,191.167,191.381,197.127,201.55,205.258,208.447,212.766,217.368,222.88,228.825,235.572,240.642,246.448
US$ in bn,163.357,181.332,168.562,172.024,212.301,205.873,197.07,206.13,204.809,222.878,221.09,238.148,258.571,262.87,251.06,239.852,255.107,244.011,244.219,247.387,254.157,252.167,240.923,269.027,250.645,254.552,254.837,262.489,268.378,273.315,277.562,283.313,289.441,296.781,304.697,313.681,320.432,328.162
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0,0,0,0.218512,0.323704,0.437274,0.354026,0.751547,0.822076,0.904365,1.43888,1.58093,1.57865,1.69231,1.60291,2.09903,2.14899,2.18133,2.33926,2.92168,3.78477,4.78757,5.47275,5.86762,6.42036,7.12426,7.96765,8.95902,9.85699,10.8378,11.8935,13.0562,14.3263,15.7695,17.4445
Percentage of GDP,0,0,0,0,0,0,24.2172,13.3091,11.3037,7.77259,14.9648,14.5023,14.9655,21.5595,21.2032,18.4333,17.2257,13.7933,15.2215,12.6457,11.4356,13.0061,14.0849,15.5471,18.296,20.4018,19.9529,19.7839,19.8931,20.238,20.8592,21.1382,21.4681,21.8032,22.1508,22.4939,22.9145,23.4591
US$ in bn (Nominal),0.128297,0.135799,0.158923,0.162122,0.109345,0.109411,0.198647,0.256453,0.346273,0.272852,0.540759,0.406064,0.457628,0.694107,0.720012,0.735726,0.882928,0.884269,1.17897,1.28644,1.46319,1.40034,1.63928,2.24416,2.89927,3.2901,3.38643,3.56152,3.85984,4.26504,4.74019,5.155,5.60489,6.07154,6.5786,7.12447,7.74035,8.45217
Percentage growth,-100,-100,-100,-100,-100,-100,-100,-43.6132,-5.56228,-24.0078,98.5159,-0.310493,5.092,50.9817,3.73373,-3.44949,-1.08104,-12.2313,20.7098,-6.66419,-7.38798,9.41452,15.0928,18.2632,25.0053,15.0328,2.39605,4.20159,5.88112,7.22747,8.3261,6.3028,6.23235,6.02972,6.06407,6.01715,6.35206,6.88103
Local currency in bn,0,0,0,0,0,0,2.32099,1.30873,1.23594,0.939215,1.86449,1.8587,1.95335,2.9492,3.05931,2.95378,2.92185,2.56447,3.09557,2.88927,2.67581,2.92773,3.36961,3.985,4.98147,5.73032,5.86762,6.11416,6.47374,6.94162,7.51959,7.99354,8.49172,9.00375,9.54974,10.1244,10.7675,11.5084
US$ in bn,0,0,0,0,0,0,1.33955,0.755326,0.713313,0.542062,1.07608,1.07274,1.12736,1.70211,1.76566,1.70476,1.68633,1.48007,1.78659,1.66753,1.54433,1.68972,1.94475,2.29992,2.87502,3.30722,3.38646,3.52875,3.73628,4.00632,4.33989,4.61342,4.90094,5.19646,5.51157,5.84321,6.21438,6.64199
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),138.435,144.815,141.928,145.667,206.738,194.666,208.236,195.951,213.209,215.678,217.447,227.867,245.549,251.285,243.303,225.109,230.717,231.594,239.894,236.86,232.902,219.574,234.695,236.442,247.42,251.325,257.942,266.855,276.603,285.916,297.358,307.582,315.935,326.784,336.775,347.762,360.913,372.974
Percentage of GDP,11.9416,11.6715,10.4866,9.19244,12.2065,11.1461,11.3835,10.32,11.0707,10.9648,10.7997,11.0763,11.6164,11.5277,11.0105,10.1388,10.2066,10.0941,10.0339,9.42303,9.11701,8.9447,9.13032,8.77334,8.99218,8.93078,8.87472,8.91284,8.89906,8.8888,8.99686,9.07642,9.10231,9.19735,9.2468,9.30347,9.40932,9.46663
US$ in bn (Nominal),163.889,159.644,180.674,180.701,268.136,228.227,247.483,256.359,270.665,244.643,243.641,242.968,226.715,225.019,229.832,254.605,286.896,288.275,301.279,324.567,342.552,305.992,311.188,329.122,317.884,333.76,343.467,329.566,333.998,339.526,348.868,359.414,367.7,378.807,389.413,401.474,415.99,429.204
Percentage growth,-100,1.69945,-5.24146,-1.58412,34.7909,-9.57491,4.70859,-7.73296,8.14618,0.920235,0.213829,4.46471,8.25063,1.0546,-4.463,-8.58383,1.38931,-0.238998,3.26785,-2.90273,-2.50373,-7.35973,6.09598,-0.395531,3.09042,-0.467491,0.871529,2.42926,1.89503,1.52808,2.43712,2.01736,1.27943,1.94987,1.41759,1.50195,2.0042,1.58329
Local currency in bn,211.169,214.758,203.501,200.278,269.956,244.108,255.602,235.836,255.048,257.395,257.946,269.462,291.694,294.771,281.615,257.442,261.018,260.395,268.904,261.098,254.561,235.826,250.202,249.212,256.914,255.713,257.942,264.208,269.214,273.328,279.99,285.638,289.292,294.933,299.114,303.607,309.692,314.595
US$ in bn,281.187,285.966,270.977,266.684,359.466,325.048,340.353,314.033,339.615,342.74,343.473,358.808,388.412,392.508,374.991,342.802,347.565,346.734,358.065,347.671,338.967,314.019,333.162,331.844,342.1,340.5,343.468,351.812,358.479,363.956,372.826,380.348,385.214,392.725,398.292,404.274,412.377,418.906
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),4.44135,5.19029,6.39584,7.78215,8.97136,9.66048,10.9283,13.0981,13.907,14.5926,15.2003,17.8655,20.203,22.533,23.61,24.5377,27.3083,30.95,33.8711,35.7044,36.2717,33.9454,33.6352,30.8938,28.1011,28.5267,29.3866,30.417,31.7007,33.2575,34.9041,36.686,38.8168,41.1359,43.6845,46.6243,49.6439,52.7064
Percentage of GDP,16.2889,16.0169,16.3531,16.1114,16.0666,15.3651,15.3269,16.3875,15.8303,15.0076,14.3707,15.8542,16.6005,17.1005,16.5837,15.9178,16.3358,17.6091,17.89,17.5279,16.8605,15.9563,16.0938,15.6263,15.296,16.5542,17.3246,17.5663,17.732,17.9391,18.076,18.2078,18.4437,18.7023,18.9676,19.3114,19.5953,19.8194
US$ in bn (Nominal),5.25799,5.72177,8.14186,9.65383,11.6357,11.326,12.988,17.136,17.6547,16.5523,17.0313,19.0494,18.6534,20.1776,22.3028,27.7529,33.9579,38.5249,42.5381,48.9255,53.3483,47.3054,44.5978,43.0034,36.1042,37.8836,39.1302,37.565,38.2786,39.4933,40.9505,42.8681,45.1768,47.6847,50.5125,53.8254,57.2198,60.6525
Percentage growth,-100,2.06633,2.20576,1.56818,0.412178,-5.94231,1.72911,9.15076,-1.10593,-1.77554,-1.03118,14.1082,9.39413,7.76011,0.70472,0.408112,7.4193,9.62948,6.10926,2.2859,-1.64171,-7.57879,-2.65473,-9.62943,-8.3462,3.9199,5.71136,3.22251,2.86485,3.302,3.19718,3.24152,3.85184,3.96076,4.1255,4.6086,4.32845,4.01877
Local currency in bn,19.3288,19.7345,20.1332,20.4638,20.5443,19.3413,19.6828,21.486,21.2416,20.8682,20.6593,23.5678,25.7398,27.8425,28.2147,28.2166,30.5034,33.6269,35.6813,36.4969,35.8977,33.1771,32.2963,29.1864,26.7504,27.799,29.3867,30.3337,31.2027,32.233,33.2636,34.3418,35.6646,37.0772,38.6068,40.3861,42.1342,43.8274
US$ in bn,26.1191,26.6588,27.2468,27.6741,27.7882,26.1369,26.5888,29.0219,28.701,28.1914,27.9007,31.8369,34.8277,37.5304,37.7949,37.9491,40.7647,44.6901,47.4204,48.5043,47.708,44.0923,42.9218,38.7887,35.5513,36.9449,39.0549,40.3135,41.4684,42.8377,44.2073,45.6403,47.3983,49.2756,51.3085,53.6731,55.9963,58.2466
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),102.169,97.0104,152.205,199.134,253.465,292.25,389.153,717.778,1004.98,1331.21,1472.14,1541.01,2068.28,2287.18,2094.66,2095.07,2112.03,2460.96,2590.74,2613.63,2959.92,3097.26,3061.42,3173.01,3122.65,2957.46,3255.28,3445.14,3772.55,4060.67,4229.05,4461.14,4681.13,4944.11,5202.41,5470.8,5768.44,6093.61
Percentage of GDP,7.38541,5.86277,7.58498,8.29899,8.96817,8.57564,9.28289,12.394,14.2021,15.1806,14.1814,13.3073,15.5902,14.9358,12.0746,11.0532,10.1081,11.0435,10.7951,10.2832,10.9854,11.8489,11.3758,11.325,10.933,9.91006,10.2578,10.4609,10.9244,11.2331,11.1914,11.3138,11.3768,11.5219,11.6369,11.7669,11.9362,12.1374
US$ in bn (Nominal),2.02659,1.64239,2.40812,2.66453,3.20889,3.1789,3.70193,5.70949,6.58372,7.12683,6.86627,6.49814,7.32968,7.98352,8.12313,9.34019,10.4172,12.3305,12.314,14.2335,17.1975,15.3071,14.7225,15.7826,13.872,13.221,13.9948,12.9656,14.222,15.3994,16.3618,17.377,18.2143,19.217,20.2299,21.2984,22.4337,23.6604
Percentage growth,-100,-19.7145,16.8607,-14.0429,4.75216,-4.92777,11.4373,35.4792,14.5667,10.6221,-2.67506,-3.13145,22.0631,-0.537941,-15.5301,-5.00079,-4.33241,14.0589,1.65903,-4.25539,7.61721,0.88887,-3.24323,1.35218,-4.94032,-7.87623,6.86851,4.99054,7.06486,4.63825,1.27685,2.90794,2.57232,3.40798,3.12634,3.09804,3.37346,3.56638
Local currency in bn,2179.21,1749.59,2044.58,1757.46,1840.98,1750.26,1950.44,2642.45,3027.36,3348.93,3259.35,3157.28,3853.88,3833.14,3237.85,3075.93,2942.67,3356.38,3412.06,3266.86,3515.71,3546.96,3431.92,3478.33,3306.49,3046.06,3255.28,3417.74,3659.2,3828.92,3877.81,3990.57,4093.22,4232.72,4365.05,4500.28,4652.09,4818
US$ in bn,9.36866,7.52167,8.78988,7.55553,7.91458,7.52456,8.38517,11.3602,13.015,14.3974,14.0123,13.5735,16.5682,16.4791,13.9199,13.2238,12.6509,14.4294,14.6688,14.0446,15.1144,15.2488,14.7542,14.9537,14.215,13.0954,13.9948,14.6932,15.7313,16.4609,16.6711,17.1559,17.5972,18.1969,18.7658,19.3472,19.9999,20.7131
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),35.7689,46.7111,50.2064,58.4255,47.156,61.2046,60.6517,92.3977,83.0407,94.3362,116.251,108.629,121.08,133.646,151.468,146.017,158.811,181.508,222.384,230.759,258.808,258.524,320.202,314.177,369.673,423.56,458.039,478.21,500.525,514.801,538.015,561.376,595.218,631.532,671.442,714.345,758.744,806.243
Percentage of GDP,13.8222,14.6532,13.5168,14.5478,11.7466,14.7777,13.7755,20.3513,17.0337,17.4585,19.297,16.7766,17.2125,16.8376,17.991,16.809,16.4704,17.1558,18.5297,16.7975,16.7209,16.3053,19.7527,18.4749,20.8384,22.6138,23.3452,23.2765,23.0811,22.5348,22.4189,22.2686,22.4771,22.7152,23.0045,23.2703,23.5034,23.7911
US$ in bn (Nominal),0.831154,0.81781,0.860233,0.988962,0.818407,0.904847,0.866442,1.42655,1.24516,1.32921,1.63367,1.50029,1.53651,1.36778,1.65381,1.90343,2.26244,2.88789,3.18371,3.60219,2.94257,2.09094,2.61941,2.70754,2.95484,3.4661,3.93133,3.86717,4.08473,4.23623,4.44455,4.65395,4.93451,5.22534,5.5446,5.88721,6.24073,6.61112
Percentage growth,-100,6.28558,-6.6765,7.38723,-21.9798,27.4569,-3.41769,47.9079,-12.297,10.6678,17.6465,-9.44181,7.46104,1.50339,7.33478,-4.03711,6.0488,10.4131,12.58,-0.534615,0.687561,-7.50435,17.5872,-4.47419,14.0855,12.2742,5.80288,2.14644,2.11052,0.34407,1.95193,1.79365,3.4408,3.51173,3.72497,3.79336,3.62275,3.66682
