"Taxonid","EEZID","stocklong","notes","FAOAreaID","id"
600146,361,"Bigeye tuna Central Western Pacific","",71,"361_600146"
600146,393,"Bigeye tuna Central Western Pacific","",61,"393_600146"
600146,393,"Bigeye tuna Central Western Pacific","",71,"393_600146"
600146,580,"Bigeye tuna Central Western Pacific","",61,"580_600146"
600146,580,"Bigeye tuna Central Western Pacific","",71,"580_600146"
600146,608,"Bigeye tuna Central Western Pacific","",61,"608_600146"
600146,608,"Bigeye tuna Central Western Pacific","",71,"608_600146"
600146,626,"Bigeye tuna Central Western Pacific","",57,"626_600146"
600146,626,"Bigeye tuna Central Western Pacific","",71,"626_600146"
600146,704,"Bigeye tuna Central Western Pacific","",61,"704_600146"
600146,704,"Bigeye tuna Central Western Pacific","",71,"704_600146"
600146,848,"Bigeye tuna Eastern Pacific","",67,"848_600146"
600146,848,"Bigeye tuna Eastern Pacific","",77,"848_600146"
600146,930,"Bigeye tuna Eastern Pacific","",77,"930_600146"
600146,930,"Bigeye tuna Eastern Pacific","",87,"930_600146"
600146,356,"Bigeye tuna Indian Ocean","",51,"356_600146"
600146,356,"Bigeye tuna Indian Ocean","",57,"356_600146"
600146,459,"Bigeye tuna Indian Ocean","",57,"459_600146"
600146,459,"Bigeye tuna Indian Ocean","",71,"459_600146"
600146,462,"Bigeye tuna Indian Ocean","",51,"462_600146"
600146,462,"Bigeye tuna Indian Ocean","",57,"462_600146"
600146,895,"Bigeye tuna Indian Ocean","",51,"895_600146"
600146,895,"Bigeye tuna Indian Ocean","",57,"895_600146"
600146,937,"Bigeye tuna Indian Ocean","",57,"937_600146"
600146,937,"Bigeye tuna Indian Ocean","",71,"937_600146"
600146,938,"Bigeye tuna Indian Ocean","",57,"938_600146"
600146,938,"Bigeye tuna Indian Ocean","",71,"938_600146"
600146,954,"Bigeye tuna Indian Ocean","",47,"954_600146"
600146,954,"Bigeye tuna Indian Ocean","",51,"954_600146"
600146,184,"Bigeye tuna Western Pacific Ocean","",77,"184_600146"
600146,184,"Bigeye tuna Western Pacific Ocean","",81,"184_600146"
600146,242,"Bigeye tuna Western Pacific Ocean","",71,"242_600146"
600146,242,"Bigeye tuna Western Pacific Ocean","",81,"242_600146"
600146,258,"Bigeye tuna Western Pacific Ocean","",77,"258_600146"
600146,258,"Bigeye tuna Western Pacific Ocean","",81,"258_600146"
600146,488,"Bigeye tuna Western Pacific Ocean","",61,"488_600146"
600146,488,"Bigeye tuna Western Pacific Ocean","",77,"488_600146"
600146,540,"Bigeye tuna Western Pacific Ocean","",71,"540_600146"
600146,540,"Bigeye tuna Western Pacific Ocean","",81,"540_600146"
600146,548,"Bigeye tuna Western Pacific Ocean","",71,"548_600146"
600146,548,"Bigeye tuna Western Pacific Ocean","",81,"548_600146"
600146,612,"Bigeye tuna Western Pacific Ocean","",77,"612_600146"
600146,612,"Bigeye tuna Western Pacific Ocean","",81,"612_600146"
600146,772,"Bigeye tuna Western Pacific Ocean","",71,"772_600146"
600146,772,"Bigeye tuna Western Pacific Ocean","",77,"772_600146"
600146,776,"Bigeye tuna Western Pacific Ocean","",71,"776_600146"
600146,776,"Bigeye tuna Western Pacific Ocean","",77,"776_600146"
600146,776,"Bigeye tuna Western Pacific Ocean","",81,"776_600146"
600146,846,"Bigeye tuna Western Pacific Ocean","",71,"846_600146"
600146,846,"Bigeye tuna Western Pacific Ocean","",77,"846_600146"
600146,872,"Bigeye tuna Western Pacific Ocean","",61,"872_600146"
600146,872,"Bigeye tuna Western Pacific Ocean","",71,"872_600146"
600146,876,"Bigeye tuna Western Pacific Ocean","",71,"876_600146"
600146,876,"Bigeye tuna Western Pacific Ocean","",77,"876_600146"
600146,943,"Bigeye tuna Western Pacific Ocean","",71,"943_600146"
600146,943,"Bigeye tuna Western Pacific Ocean","",77,"943_600146"
600147,24,"Bluefin tuna Eastern Atlantic","",34,"24_600147"
600147,24,"Bluefin tuna Eastern Atlantic","",47,"24_600147"
600147,178,"Bluefin tuna Eastern Atlantic","",34,"178_600147"
600147,178,"Bluefin tuna Eastern Atlantic","",47,"178_600147"
600147,180,"Bluefin tuna Eastern Atlantic","",34,"180_600147"
600147,180,"Bluefin tuna Eastern Atlantic","",47,"180_600147"
600147,266,"Bluefin tuna Eastern Atlantic","",34,"266_600147"
600147,266,"Bluefin tuna Eastern Atlantic","",47,"266_600147"
600147,620,"Bluefin tuna Eastern Atlantic","",27,"620_600147"
600147,620,"Bluefin tuna Eastern Atlantic","",34,"620_600147"
600147,621,"Bluefin tuna Eastern Atlantic","",27,"621_600147"
600147,621,"Bluefin tuna Eastern Atlantic","",34,"621_600147"
600147,622,"Bluefin tuna Eastern Atlantic","",27,"622_600147"
600147,622,"Bluefin tuna Eastern Atlantic","",34,"622_600147"
600147,855,"Bluefin tuna Eastern Atlantic","",34,"855_600147"
600147,855,"Bluefin tuna Eastern Atlantic","",47,"855_600147"
600147,946,"Bluefin tuna Eastern Atlantic","",34,"946_600147"
600147,946,"Bluefin tuna Eastern Atlantic","",37,"946_600147"
600147,962,"Bluefin tuna Eastern Atlantic","",27,"962_600147"
600147,962,"Bluefin tuna Eastern Atlantic","",34,"962_600147"
600147,962,"Bluefin tuna Eastern Atlantic","",37,"962_600147"
600147,60,"Bluefin tuna Western Atlantic","",21,"60_600147"
600147,60,"Bluefin tuna Western Atlantic","",31,"60_600147"
600147,76,"Bluefin tuna Western Atlantic","",31,"76_600147"
600147,76,"Bluefin tuna Western Atlantic","",41,"76_600147"
600147,254,"Bluefin tuna Western Atlantic","",31,"254_600147"
600147,254,"Bluefin tuna Western Atlantic","",41,"254_600147"
600147,851,"Bluefin tuna Western Atlantic","",21,"851_600147"
600147,851,"Bluefin tuna Western Atlantic","",31,"851_600147"
600147,970,"Bluefin tuna Western Atlantic","",34,"970_600147"
600147,970,"Bluefin tuna Western Atlantic","",41,"970_600147"
600216,24,"Blue marlin Atlantic","",34,"24_600216"
600216,24,"Blue marlin Atlantic","",47,"24_600216"
600216,60,"Blue marlin Atlantic","",21,"60_600216"
600216,60,"Blue marlin Atlantic","",31,"60_600216"
600216,76,"Blue marlin Atlantic","",31,"76_600216"
600216,76,"Blue marlin Atlantic","",41,"76_600216"
600216,178,"Blue marlin Atlantic","",34,"178_600216"
600216,178,"Blue marlin Atlantic","",47,"178_600216"
600216,180,"Blue marlin Atlantic","",34,"180_600216"
600216,180,"Blue marlin Atlantic","",47,"180_600216"
600216,254,"Blue marlin Atlantic","",31,"254_600216"
600216,254,"Blue marlin Atlantic","",41,"254_600216"
600216,266,"Blue marlin Atlantic","",34,"266_600216"
600216,266,"Blue marlin Atlantic","",47,"266_600216"
600216,620,"Blue marlin Atlantic","",27,"620_600216"
600216,620,"Blue marlin Atlantic","",34,"620_600216"
600216,621,"Blue marlin Atlantic","",27,"621_600216"
600216,621,"Blue marlin Atlantic","",34,"621_600216"
600216,622,"Blue marlin Atlantic","",27,"622_600216"
600216,622,"Blue marlin Atlantic","",34,"622_600216"
600216,851,"Blue marlin Atlantic","",21,"851_600216"
600216,851,"Blue marlin Atlantic","",31,"851_600216"
600216,855,"Blue marlin Atlantic","",34,"855_600216"
600216,855,"Blue marlin Atlantic","",47,"855_600216"
600216,946,"Blue marlin Atlantic","",34,"946_600216"
600216,946,"Blue marlin Atlantic","",37,"946_600216"
600216,962,"Blue marlin Atlantic","",27,"962_600216"
600216,962,"Blue marlin Atlantic","",34,"962_600216"
600216,962,"Blue marlin Atlantic","",37,"962_600216"
600216,970,"Blue marlin Atlantic","",34,"970_600216"
600216,970,"Blue marlin Atlantic","",41,"970_600216"
600219,24,"White marlin Atlantic","",34,"24_600219"
600219,24,"White marlin Atlantic","",47,"24_600219"
600219,60,"White marlin Atlantic","",21,"60_600219"
