iucn_sid,years,cats,stati,pop_trend_desc,calc_trend,pop_trend
22693472,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22693490,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693494,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693520,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693528,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693556,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22693567,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693570,"1994, 2000, 2004, 2006, 2008, 2012, 2016","NT, NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",stable,0,0
22693584,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693604,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.0107,-1
22693621,"1994, 1996, 2000, 2004, 2008, 2012, 2016","EX, EX, EX, EX, EX, EX, EX","-0.3333, -0.3333, -0.3333, -0.3333, -0.3333, -0.3333, -0.3333",NA,-0,NA
22693627,"1994, 2000, 2004, 2006, 2008, 2012, 2015, 2016","NT, NT, NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",increasing,-0,1
22693644,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693647,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693651,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",increasing,-0,1
22693656,"1994, 2000, 2004, 2006, 2008, 2012, 2016","EN, EN, EN, EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0,-1
22693663,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693669,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693690,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2012, 2013, 2015, 2016","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","-0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",increasing,0,1
22693709,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693712,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693717,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693720,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693727,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22693735,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693740,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693749,"1994, 2000, 2004, 2008, 2009, 2011, 2012, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22693759,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693764,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693767,"1994, 2000, 2004, 2008, 2009, 2012, 2016","NT, LC, LC, LC, LC, LC, LC","0.7333, 1, 1, 1, 1, 1, 1",decreasing,0.00973,-1
22693770,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693774,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693777,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693780,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, NT, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.7333, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.00295,-1
22693793,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693811,"1994, 1996, 2000, 2001, 2004, 2005, 2006, 2008, 2012, 2016","VU, VU, VU, NT, VU, NT, NT, NT, NT, NT","0.4667, 0.4667, 0.4667, 0.7333, 0.4667, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",increasing,0.01456,1
22693814,"1994, 2000, 2004, 2007, 2008, 2012, 2016","LC, LC, LC, NT, NT, NT, NT","1, 1, 1, 0.7333, 0.7333, 0.7333, 0.7333",stable,-0.01607,0
22693828,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693832,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693836,"1994, 2000, 2004, 2006, 2008, 2012, 2016","NT, NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,0,-1
22693839,"1994, 2000, 2004, 2008, 2012, 2016","NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0,-1
22693842,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693845,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2014, 2016","LC, LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693852,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693855,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693862,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693868,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693872,"1994, 2000, 2004, 2008, 2009, 2011, 2012, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",unknown,-0,NA
22693879,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693883,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2014, 2016","VU, VU, NT, NT, NT, NT, VU, VU, VU","0.4667, 0.4667, 0.7333, 0.7333, 0.7333, 0.7333, 0.4667, 0.4667, 0.4667",decreasing,-0.00232,-1
22693899,"1994, 1996, 2000, 2004, 2008, 2012, 2016","EN, EN, EN, EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",stable,0,0
22693928,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22693949,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01096,-1
22693978,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22693983,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694038,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694064,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694081,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694086,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694127,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694132,"1994, 2000, 2004, 2008, 2009, 2011, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694140,"1994, 2000, 2004, 2006, 2007, 2008, 2012, 2016","LC, LC, VU, VU, VU, VU, VU, VU","1, 1, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.02914,-1
22694144,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694148,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694152,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694160,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694210,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694218,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694240,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694245,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694251,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694256,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694262,"1994, 2000, 2004, 2006, 2008, 2012, 2016","LC, NT, NT, NT, NT, NT, NT","1, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.00966,-1
22694271,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694279,"1994, 2000, 2004, 2008, 2009, 2012, 2016","NT, LC, LC, LC, LC, LC, LC","0.7333, 1, 1, 1, 1, 1, 1",stable,0.00973,0
22694282,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694286,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2013, 2016","VU, VU, VU, VU, VU, VU, VU, NT, NT","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.7333, 0.7333",stable,0.01027,0
22694289,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694292,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694296,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016","NT, NT, NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",increasing,-0,1
22694299,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016","VU, VU, NT, NT, NT, NT, NT, NT, NT","0.4667, 0.4667, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",stable,0.01245,0
22694303,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694308,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694313,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2015, 2016","VU, NT, NT, NT, NT, NT, NT, LC, LC","0.4667, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 1, 1",stable,0.01948,0
22694317,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694321,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694324,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694329,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694334,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694337,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694340,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694343,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694346,"2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1",stable,-0,0
22694357,"1994, 2000, 2004, 2008, 2009, 2014, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01006,-1
22694362,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694373,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694379,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694384,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22694387,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694393,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694413,"1994, 2000, 2004, 2005, 2006, 2008, 2012, 2015, 2016","LC, VU, VU, EN, EN, EN, EN, EN, EN","1, 0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.0314,-1
22694417,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694420,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694428,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694432,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694436,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016","EN, EN, VU, VU, VU, VU, VU, VU, VU","0.2, 0.2, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0.01246,-1
22694443,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694447,"1994, 2000, 2004, 2006, 2007, 2008, 2012, 2016","NT, VU, VU, VU, VU, VU, VU, VU","0.7333, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.00974,-1
22694452,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",increasing,0,1
22694455,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694462,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694469,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694473,"1994, 2000, 2004, 2005, 2006, 2008, 2010, 2012, 2016","LC, LC, LC, NT, NT, NT, NT, NT, NT","1, 1, 1, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.01591,-1
22694476,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694479,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694493,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694497,"1994, 2000, 2004, 2008, 2009, 2010, 2012, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22694502,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2013, 2015, 2016","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22694524,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",increasing,-0,1
22694537,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01259,-1
22694542,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694552,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016","NT, NT, NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",stable,-0,0
22694561,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694571,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22694585,"1994, 1996, 2000, 2004, 2008, 2009, 2010, 2012, 2013, 2015, 2016","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","-0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",decreasing,0,-1
22694591,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694601,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694607,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22694612,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694618,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694623,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694629,"1994, 2000, 2004, 2008, 2009, 2010, 2012, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22694635,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",unknown,-0,NA
22694641,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016","VU, VU, NT, NT, NT, NT, NT, NT, NT","0.4667, 0.4667, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",stable,0.01245,0
22694646,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22694651,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694656,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694666,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694673,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694685,"1994, 2000, 2004, 2005, 2006, 2008, 2010, 2012, 2016","LC, NT, NT, EN, EN, EN, EN, EN, EN","1, 0.7333, 0.7333, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.04129,-1
22694691,"1994, 1996, 2000, 2004, 2008, 2010, 2012, 2016","VU, VU, LC, LC, VU, VU, VU, VU","0.4667, 0.4667, 1, 1, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.00741,-1
22694699,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2015, 2016","NT, NT, NT, NT, NT, NT, NT, NT, VU","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.4667",decreasing,-0.00574,-1
22694705,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694716,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22694722,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694730,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694740,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22694750,"1994, 1996, 2000, 2004, 2007, 2008, 2010, 2012, 2016","VU, VU, EN, EN, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01252,-1
22694764,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22694782,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22694787,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22694791,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
