"fao_saup_id","taxon_name_key","year","catch"
"481_0","Lithodes murrayi_6",2003,0
"481_0","Loliginidae, Ommastrephidae_3",2003,0
"481_0","Macrourus spp_5",2003,0
"481_0","Myctophidae_4",2003,0
"481_0","Notothenia gibberifrons_6",2003,0
"481_0","Notothenia kempi_6",2003,0
"481_0","Notothenia neglecta_6",2003,0
"481_0","Notothenia rossii_6",2003,0
"481_0","Notothenia squamifrons_6",2003,0
"481_0","Nototheniidae_4",2003,0
"481_0","Nototheniops nudifrons_6",2003,0
"481_0","Osteichthyes_2",2003,0
"481_0","Pleuragramma antarcticum_6",2003,0
"481_0","Pseudochaenichthys georgianus_6",2003,0
"481_0","Rajiformes_3",2003,0
"481_0","Trematomus spp_5",2003,0
"481_0","Cephalopoda_2",2004,0
