Total contribution to Employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Thousands of jobs,235.109,242.19,215.704,187.017,188.882,191.701,199.036,210.243,237.15,245.575,188.301,210.129,265.934,258.332,314.484,283.949,348.642,370.098,410.834,446.757,485.271,491.974,539.058,574.683,654.586,739.151,745.483,749.106,752.744,753.08,749.267,747.205,744.782,745.132,746.811,747.584,748.977,758.226
% EMP,8.66038,9.70766,8.00773,7.02354,7.14246,7.93079,7.95424,8.51357,10.2648,9.9146,6.59711,8.36097,9.48143,8.87021,10.8215,10.1293,11.4261,11.6189,12.4888,13.0643,13.9519,14.6165,16.9438,18.916,20.6384,22.4998,22.0398,21.6502,21.5119,21.4185,21.3163,21.301,21.3358,21.3926,21.5635,21.763,21.9766,22.3261
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,31303.2,32889.4,34839.7,36973.1,41858.3,40449.9,41551.9,42442.9,41900.7,44084.2,44517.7,45243.8,45027.6,37692.9,42512.8,45432.3,46323.3,40395.7,40698.7,44432.3,36712.9,34666.9,33930.6,34853.5,35254.9,35736.4,36695.4,37365,38474.4,39280.1,40090.1,41000.1,41995.5,42706.8,43341.2,43997.2,44717.4,45566
% EMP,8.91828,8.48867,8.83856,8.83772,8.69638,7.99494,8.73894,9.54849,9.40393,10.2229,9.97154,10.0783,10.3557,8.18163,9.28911,9.78783,9.77325,7.6228,7.56163,7.77332,7.60277,6.98349,6.69099,6.45118,6.54626,6.60824,6.74247,6.79804,6.77535,6.7527,6.85631,6.96307,7.01762,7.07296,7.1708,7.32124,7.49367,7.61423
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5471.91,5522.51,6189.1,6808.68,7656.28,7923.69,8325.7,8219.21,9291.72,9835.6,10742.4,10095.3,9755.25,10058,9230.91,8470.96,8626.52,8587.77,8149.99,8611.21,8985.36,9265.99,8828.68,8707.35,9038.44,9502.03,9813.93,10140.7,10495.3,10800.6,11120.3,11383.2,11581.9,11747.9,11848.2,11943.6,12022.5,12127.3
% EMP,7.94616,7.91589,8.58273,9.355,10.2422,10.4917,10.627,10.722,11.3103,11.9201,13.1322,11.9234,12.3908,12.6177,11.447,10.5998,10.4497,10.36,9.67166,9.77335,9.885,9.96951,9.19394,8.94159,8.96572,9.17462,9.32292,9.45929,9.5847,9.68455,9.81304,9.90468,9.95532,9.98642,9.96558,9.94088,9.90906,9.88025
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4711.75,4618.63,4581.38,4752.82,4883.37,5055.69,5218.72,5149.95,5486.93,5755.58,6078.51,5925.92,5812.28,6012.4,5896.41,5702.75,5491.45,5309.22,5387.9,4916.7,4816,4834.38,4368.06,4293.57,4208.25,4321.22,4441.59,4637.05,4618.46,4631.25,4639.1,4664.1,4682.76,4727.7,4784.54,4806.23,4839.31,4857.37
% EMP,8.32213,7.95033,7.79435,7.83918,7.9047,8.11515,8.36238,8.20007,8.73249,9.03647,9.68426,9.49865,9.29556,9.56949,9.53113,9.24333,8.88954,8.60152,8.79538,8.05934,7.97771,8.00266,7.21032,7.11979,7.14408,7.32843,7.4504,7.57337,7.60043,7.66599,7.71474,7.78831,7.84846,7.89671,7.9488,8.0029,8.07754,8.14965
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.62896,2.28639,2.09415,2.60286,2.46517,3.56176,3.14433,2.58088,2.85878,2.9942,2.07799,1.85814,2.61953,2.76998,3.80446,4.12033,3.05449,2.891,3.27812,3.61363,4.7924,5.36857,5.2317,5.26692,5.29945,5.31122,5.53117,5.74541,6.05535,6.36287,6.58295,6.756,6.91743,7.09035,7.299,7.40499,7.51404,7.62184
% EMP,16.2684,13.8908,12.5416,15.2797,14.3236,20.4379,17.7856,14.47,15.8293,16.4823,11.1739,9.82237,13.2402,14.0301,18.7515,19.7844,13.9686,13.205,15.0636,16.2305,20.7328,22.897,21.3369,22.6087,21.6523,23.3959,23.6929,24.2327,25.0536,25.74,26.219,26.2881,26.3384,26.4071,26.1851,26.0192,25.8647,25.6642
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1443.29,1368.14,1441.26,1376.63,1359.02,1382.5,1328.24,1408.35,1384.57,1465.8,1587.65,1500.76,1435.68,1518.13,1584.29,1508.27,1508.89,1402.18,1351.31,1359.47,1415.77,1471.96,1388.8,1315.59,1459.23,1523.06,1615.82,1653.98,1640.04,1639.52,1655.48,1678.03,1692.65,1700.41,1704.57,1710.09,1709.94,1715.73
% EMP,9.04107,8.20733,8.3637,7.68699,7.40175,7.4129,6.85953,7.0477,6.77248,7.03734,8.11793,7.49287,6.76456,6.97395,7.00947,6.70597,6.55116,5.98477,5.672,5.59597,5.77014,6.02319,5.46267,5.01315,5.45029,5.5863,5.78245,5.82543,5.70887,5.64993,5.6616,5.71005,5.74549,5.78646,5.82522,5.87398,5.90711,5.96155
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,26.0998,3.81391,26.0396,35.3139,33.2929,31.0427,62.0506,77.8438,110.671,81.9264,147.689,116.456,229.541,252.594,256.876,244.447,260.423,275.516,276.243,303.246,328.643,357.874,389.672,395.614,381.149,393.137,396.128,406.848,424.012,433.817,442.333,450.867,455.971,457.814,461.018,463.252,464.773,469.149
% EMP,1.81557,0.260198,1.72009,2.26799,2.08248,1.89352,3.70589,4.54367,6.30437,4.56293,8.0374,6.18635,11.9128,12.8032,12.7279,11.8496,12.3261,12.7319,12.4379,13.2908,14.0243,14.8153,15.151,14.9233,14.698,14.8818,14.6755,14.7964,15.1001,15.1335,15.1209,15.1088,14.9845,14.741,14.5371,14.3014,14.053,13.893
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,42.4022,54.4911,48.0254,86.2013,75.1689,85.0616,83.1312,95.3163,101.602,99.047,91.1352,77.7825,86.1045,101.955,111.923,116.097,130.56,134.987,163.265,249.85,262.213,263.029,295.354,299.928,306.081,333.915,322.228,326.496,333.926,342.297,350.561,357.847,362.759,361.512,364.044,365.386,366.714,369.041
% EMP,37.0161,46.3699,36.8696,61.111,53.502,59.4942,58.0439,63.1893,62.8756,62.0494,58.3779,54.1498,60.0569,64.2154,69.1946,71.2245,80.7376,77.3787,82.043,96.9404,93.0769,88.576,94.5899,93.5434,92.9579,95.0346,87.5801,85.7715,85.6235,86.1348,86.8275,87.3687,87.5582,87.5409,87.8594,88.3119,89.0919,89.6151
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,365.524,427.458,524.421,491.53,540.181,527.704,686.396,768.547,1010.77,993.248,765.075,952.324,1031.12,1262.67,1208.53,1097.67,1168.31,1188.66,1258.98,1600.72,1251.76,1466.71,1499.66,1522.89,1601.33,1738.73,1769.9,1824.14,1881.14,1952.4,2028.23,2110.25,2184.03,2255.29,2321.47,2377.96,2413.17,2489.06
% EMP,6.87218,7.84529,9.31424,9.10103,9.28936,8.8292,11.0315,12.2323,14.2186,13.9426,10.7458,12.0794,13.23,15.5602,14.8107,13.0807,13.5231,13.6357,14.1494,16.9619,13.2322,14.9399,14.6219,14.4493,14.815,15.0631,14.9495,14.9718,14.9821,15.1192,15.2878,15.4839,15.5991,15.6968,15.7672,15.782,15.67,15.7984
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.2252,9.08698,12.2559,11.3175,16.5689,16.1777,20.3773,23.8311,28.6208,30.2572,32.6772,30.2195,31.5686,36.9419,37.4354,44.7567,43.5293,17.9311,32.4392,109.881,91.1284,101.442,106.332,84.9253,81.9412,89.8456,92.1545,92.7037,94.5919,97.4081,99.8754,100.604,101.128,100.987,100.686,100.66,101.313,101.409
% EMP,23.0417,19.9006,26.0792,23.5167,33.6701,32.0834,39.3035,44.4216,50.7777,50.9064,52.0267,45.5137,44.837,40.1223,37.6151,39.7329,35.6648,14.348,26.627,84.2846,65.7616,76.1487,80.3915,75.4826,78.4872,78.2156,78.1445,76.7161,76.5103,77.1752,77.663,76.9356,76.3673,75.4402,74.4057,73.5858,73.2667,72.7735
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,17.4322,16.1635,21.1573,22.6713,16.6285,127.61,117.286,28.709,23.0339,48.4799,57.0873,64.4182,67.6543,70.6844,67.4914,91.2842,100.339,71.3873,68.0443,85.1593,64.1383,85.8073,68.9061,36.7434,48.0181,30.6041,33.5943,35.1086,37.7884,38.6628,39.5069,39.7367,40.3963,40.2954,39.8586,39.6878,39.4004,38.8065
% EMP,3.13277,2.81807,3.55053,3.69156,2.68276,22.0922,20.3201,4.88352,3.92183,8.32498,9.45758,10.4133,11.0147,11.181,10.2055,12.9739,13.9369,9.67703,8.81466,10.871,8.08368,11.1868,8.6154,4.6725,5.3672,3.20451,3.19366,3.17938,3.29519,3.26086,3.2215,3.13054,3.07267,3.00177,2.90332,2.82377,2.73781,2.63383
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,226.985,273.085,275.414,392.917,332.527,163.034,398.579,827.127,1052.99,863.033,807.758,767.561,781.809,795.782,834.342,625.342,693.173,713.556,667.73,692.158,697.489,650.3,654.611,799.888,820.947,1027.19,1134.37,1167.1,1240.85,1313.43,1392.89,1474.63,1553.55,1635.36,1720.45,1814.17,1905.37,2003.33
% EMP,1.6439,1.94943,2.08208,2.91668,2.43354,1.14416,2.73405,5.54924,6.92004,5.55979,5.08156,4.71149,4.69649,4.69451,4.81159,3.52443,3.82703,3.85555,3.53537,3.58738,3.5377,3.23121,2.95328,3.34682,3.59317,4.56797,4.8421,4.78159,4.91451,5.04013,5.17677,5.31356,5.4444,5.5588,5.67101,5.7977,5.92908,6.07396
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,343.44,426.641,412.36,430.511,483.705,642.03,708.632,829.006,850.291,749.294,853.963,763.149,843.163,870.859,686.429,828.137,856.018,671.784,653.44,735.294,884.488,972.699,832.456,982.55,906.784,992.112,1058.78,1104.91,1146.4,1188.02,1225.6,1268.39,1307.23,1343.73,1381.44,1418.2,1455.26,1494.2
% EMP,6.11899,7.38313,6.94588,7.06431,7.68535,9.89174,10.5815,12.004,11.9399,10.2042,11.2445,9.782,10.5467,10.6142,8.19267,9.68949,9.83572,7.56874,7.22236,7.97851,9.42022,10.3109,8.52443,8.712,7.86212,8.47356,8.87619,8.99898,9.14333,9.27004,9.36623,9.46549,9.53505,9.61949,9.70961,9.79102,9.87205,9.95745
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,309.973,300.521,301.609,315.328,314.003,322.602,341.097,365.572,401,384.584,404.293,412.737,418.054,377.631,383.337,379.676,348.696,369.519,374.354,379.99,380.741,390.328,364.093,382.699,355.745,344.721,353.834,355.47,359.374,359.275,364.501,368.44,371.903,376.458,384.629,395.228,405.345,417.846
% EMP,17.3471,17.0872,16.9761,17.9721,17.8356,18.0236,18.4083,18.707,19.5628,18.5421,19.6107,19.7284,19.4828,17.4363,17.4932,17.1584,15.4495,16.0488,16.0025,15.6519,15.5114,15.365,14.1243,14.7065,14.1315,13.5357,13.6764,13.4731,13.4425,13.3093,13.328,13.312,13.2774,13.215,13.2068,13.2685,13.2986,13.3915
Other Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,104.871,94.0003,93.5452,90.0119,90.6701,83.2016,111.085,113.333,134.543,140.174,131,140.039,144.346,145.901,143.727,146.965,147.15,148.367,143.005,144.699,146.915,147.457,150.532,152.665,155.121,157.895,160.377,162.929,165.626,168.307,171.05,173.82,176.581,179.399,182.235,185.082,187.998,191.003
% EMP,26.6944,23.2758,22.9128,21.7048,21.7188,19.1833,26.4754,26.6347,32.2917,32.7205,30.6266,33.0797,33.9357,33.8811,32.7046,33.1746,33.0288,32.9303,31.3316,31.4743,31.6872,31.5183,32.0788,32.201,32.4757,32.8138,33.0766,33.343,33.6545,33.937,34.2295,34.5179,34.7653,35.0174,35.2645,35.5039,35.7511,36.0114
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1087.71,1275.58,1426.67,1483.33,1473.82,1375.89,1636.61,1642.58,1540.25,1623.28,1780.46,1892.75,1948.51,2028.4,1979.52,2165.38,2334.48,2702.86,2620.17,2645.08,2908.64,3262.75,3480.31,3352.09,3314.83,3339.14,3479.96,3600.58,3701.85,3783.36,3867.45,3947.99,4031.24,4123.46,4218.78,4314.73,4414.15,4523.71
% EMP,4.33315,4.95019,5.513,5.45632,5.62853,5.07837,5.82431,5.73902,5.27878,5.4377,5.67956,5.6758,5.80274,5.8557,5.55657,5.86787,5.99085,6.74645,6.00665,6.04929,6.53799,6.98631,7.12729,7.03824,6.88626,6.79921,6.88649,6.93433,6.96813,6.96358,6.96367,6.95659,6.95372,6.9613,6.97271,6.98388,6.99929,7.0268
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,7.35574,14.8917,52.3897,61.0189,81.6247,61.6412,50.6767,45.6148,50.5679,48.2574,51.6085,62.6266,78.7811,70.7851,103.973,86.2196,107.682,92.4165,55.1961,52.0275,46.8926,91.8123,73.9834,52.9008,56.6474,57.3584,55.1225,51.0202,52.603,55.0608,57.4496,60.3722,63.3153,65.1102,66.3463,67.4271,68.4642,69.4927
% EMP,0.578809,1.12903,3.83263,4.3607,5.6813,4.20909,3.36028,2.92279,3.16057,2.91377,3.00609,3.54828,4.32703,3.77178,5.39279,4.34924,5.29959,4.43489,2.58341,2.38201,2.09247,3.9467,3.21278,2.26573,2.39067,2.29224,2.13717,1.92266,1.92946,1.96567,1.99614,2.04174,2.08415,2.09058,2.07895,2.06307,2.04658,2.02947
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1408.93,1513.34,1501.51,1363.14,1432.34,1552.76,1658.6,1869.82,2165.48,2636.64,3139.18,2938.57,3267.43,3447.78,3125.28,3051.11,3363.03,3798.62,4012.48,4638.1,3114.72,3416.15,3286.2,3894.83,4183.49,4268.43,4231.87,4337.91,4421.32,4521.49,4649.78,4786.29,4921.69,5058.63,5187.32,5326.7,5475.55,5613.32
% EMP,8.24524,7.75893,7.35799,7.33089,7.68254,7.82701,6.4178,7.17902,8.27169,10.5903,11.163,12.2632,11.399,11.4266,10.2989,9.87017,10.6965,11.7543,12.4443,14.0317,9.35759,10.0435,9.21418,10.4432,11.1558,11.2872,11.2034,11.0508,11.0474,11.0671,11.1539,11.255,11.3432,11.43,11.5051,11.599,11.7099,11.8053
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,120.891,125.828,155.164,127.239,150.63,126.713,158.562,184.407,166.225,182.349,192.69,186.568,186.578,132.664,148.94,117.394,158.914,166.53,163.397,198.386,201.846,203.776,238.301,267.894,291.019,295.62,302.921,310.324,315.582,321.112,323.241,323.417,322.636,323.691,325.345,325.477,325.382,323.113
% EMP,12.3259,12.7943,14.3609,13.4443,14.4385,14.2514,13.0265,12.9399,12.2999,12.4083,12.4826,11.7425,10.2792,9.05564,9.11188,8.01328,9.25451,8.9264,8.29776,9.07489,8.84794,9.59197,10.163,10.3811,10.5691,10.0439,10.0866,10.2457,10.3269,10.2231,10.2006,10.236,10.291,10.3241,10.344,10.3655,10.3003,10.275
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.04664,4.3083,3.90268,4.71954,3.551,6.62558,11.5333,6.93059,6.79471,4.82947,5.16796,5.02344,4.07184,7.46206,4.84266,3.46102,4.29601,6.71576,16.3822,17.166,14.3818,17.3573,21.874,21.9542,19.7389,19.7088,18.1159,18.4319,19.1333,19.7243,20.309,20.924,21.4142,21.9911,22.376,22.7451,23.0977,23.5672
% EMP,4.03304,5.55704,4.82522,5.64019,4.06313,7.3819,12.3665,7.12203,6.73559,4.6494,4.80111,4.49229,3.52287,6.23625,3.92059,2.70982,3.25704,4.93303,11.6882,11.9042,9.6878,11.3752,13.2276,12.3977,11.7774,11.8108,10.7389,10.624,10.7252,10.7527,10.767,10.7877,10.7418,10.7444,10.6539,10.5592,10.4606,10.412
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,215.103,231.56,300.587,311.715,362.987,358.592,353.87,423.892,382.274,424.924,452.163,470.066,446.454,499.068,614.586,625.265,657.022,617.163,646.282,626.848,594.779,557.809,568.634,615.821,663.568,717.473,819.617,800.134,806.015,810.811,817.861,830.495,846.216,864.277,881.358,900.467,920.827,942.781
% EMP,4.2173,4.54043,5.8645,6.05957,6.91699,6.6736,6.45697,7.74009,6.77251,7.34593,7.15267,7.52814,7.06746,7.87837,9.67867,9.63558,10.0885,9.31241,9.2802,9.0419,8.50946,8.06962,8.16348,8.45467,9.03604,9.80975,11.0599,10.6023,10.4627,10.3129,10.1851,10.1255,10.1006,10.1233,10.1503,10.192,10.2767,10.4541
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,437.186,442.96,405.106,412.651,405.831,388.327,450.746,464.413,514.903,488.99,469.844,476.475,465.532,456.915,502.758,428.904,379.892,391.597,430.788,454.523,446.083,433.629,541.717,616.835,651.961,647.43,676.719,685.892,700.748,719.906,728.21,743.874,760.658,774.678,788.217,803.365,818.445,832.654
% EMP,5.78214,5.83013,5.43298,5.33704,5.03146,4.70972,5.22562,5.31152,5.90402,5.60517,5.41242,5.43994,5.05531,4.87721,5.35817,4.67137,3.91258,3.83551,4.0792,4.19229,4.16031,4.09604,4.81109,5.1696,5.28837,5.36323,5.53834,5.41126,5.35808,5.38149,5.34341,5.37416,5.4184,5.45092,5.48968,5.53939,5.59056,5.64398
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3466.82,3775.41,4015.94,3612.3,3693.67,3810.36,3656.92,4000.25,3993.58,4013.55,3846.67,3824.36,4225.24,4434.24,4741.07,4538.46,4986.17,4506.55,4892.19,4951.86,5106.2,4960.24,4334.04,4454.25,5386.52,6019.03,5382.89,5434.46,5602.22,5778.94,6003.69,6251.94,6504.89,6749.51,7023.86,7368.67,7746.35,8140.15
% EMP,11.8672,12.1636,12.4523,11.2897,11.6524,11.7109,11.0532,11.7125,13.2891,14.1564,15.428,15.8026,17.1801,17.376,18.053,17.2455,18.0599,16.5763,17.4536,18.226,17.5149,16.3912,14.6446,16.5077,18.5933,20.2895,19.3307,19.2062,19.7123,20.213,20.8295,21.4696,22.1262,22.7984,23.5449,24.3061,25.0154,25.8322
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.97288,3.28316,3.99048,3.78503,3.17602,3.23912,2.92022,3.23839,3.79399,4.05354,2.80794,3.06674,3.33444,3.48128,3.05431,2.65287,3.00004,3.32494,3.03716,2.66758,2.92644,2.78677,4.06969,3.99702,5.19464,5.51025,5.7931,5.97169,6.32502,6.70558,6.96035,7.26003,7.57597,7.81149,8.23403,8.53233,8.82069,9.18879
% EMP,9.3575,10.8758,11.7502,12.9106,10.6607,10.8772,9.42945,11.0245,13.105,13.6479,8.72072,9.27904,11.065,11.3013,9.70009,8.10716,9.88237,10.7525,9.83673,8.43153,8.51457,7.37373,12.1296,12.1001,16.1025,16.6411,17.156,17.3038,17.9241,18.6055,19.3001,19.9542,20.6675,21.286,21.8345,22.3548,22.879,23.3929
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.56814,8.26105,11.8155,13.2008,14.8651,15.8421,14.8686,17.1664,19.9517,18.4726,23.8783,23.8205,27.5956,25.7648,23.8844,25.9941,26.3164,23.8999,20.0251,23.2594,24.4612,27.538,25.8859,24.5139,29.6536,30.2274,29.6441,31.386,33.487,35.4129,37.1511,38.4237,39.5371,40.6009,41.5486,42.42,43.2401,44.0752
% EMP,15.4212,27.4859,37.8714,40.5598,44.487,45.5688,41.2865,46.2514,52.5675,47.5561,61.3739,58.8808,66.1311,60.1712,54.3338,55.9484,55.7224,48.9604,39.5029,44.7815,45.9696,54.0095,50.4075,46.7155,52.3668,51.3536,48.7945,50.1874,52.0255,53.4456,54.4627,54.707,54.671,54.4044,54.0483,53.6375,53.2121,52.7903
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,841.523,1318.61,1405.51,1502.96,1361.59,1394.51,1753.87,2380.69,2166.24,3119.98,3383.78,3131.86,3313.52,3486.76,3760.5,3496.81,4139.45,4340.08,5390.92,4033.61,5025.16,4062.51,4128.44,3787.35,4025.88,3905.81,4088.64,4236,4382.2,4485.42,4574.8,4656.31,4738,4765.08,4774.1,4770.93,4789.91,4842.22
% EMP,3.17371,4.86242,5.06979,5.28333,4.66961,4.67492,5.73996,8.14718,7.23924,10.2042,11.0788,10.0303,10.1732,10.4457,10.9938,9.95059,11.501,10.9982,13.197,9.57376,11.7464,9.45839,9.26239,9.19654,9.59404,9.03911,9.32045,9.50124,9.67126,9.73986,9.7737,9.78599,9.7955,9.71321,9.60367,9.48164,9.41358,9.43468
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,147.432,150.641,163.782,199.701,227.518,144.358,113.859,107.121,85.3822,94.9188,85.6888,120.001,154.626,142.427,162.741,154.454,148.087,167.472,177.844,196.588,197.44,209.34,186.583,175.984,169.168,176.506,181.814,180.377,181.043,189.589,196.858,201.232,203.146,205.549,208.429,211.817,215.019,219.666
% EMP,11.7927,11.8134,12.8443,16.1192,21.3516,15.6611,11.0602,10.6149,8.62215,9.69398,8.89812,12.6498,16.2477,17.3597,19.8754,18.7041,17.9832,20.0892,21.2389,23.33,22.7036,24.5657,23.0039,21.4182,20.4319,20.2903,21.0079,20.0922,19.6657,20.086,20.5693,20.7358,20.6441,20.7278,20.9035,21.1566,21.4135,21.8154
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,36.5217,42.0931,48.2461,52.1592,41.5239,48.7061,40.7732,48.642,38.1447,45.1513,54.6101,47.2756,51.4175,66.5586,60.5259,68.2917,91.4653,76.5603,74.8786,58.0994,61.3,76.4064,80.5609,80.1537,84.7625,80.1577,133.741,121.102,120.55,121.481,121.933,120.424,117.998,116.212,114.054,112.078,110.225,108.444
% EMP,2.0758,2.35188,2.69857,2.96702,2.42789,2.93789,3.14456,3.78845,3.05532,3.78358,4.68602,4.17757,4.61405,6.01588,6.24097,7.01946,9.58869,7.89036,7.72512,5.93475,6.07863,7.81795,8.18583,7.68415,8.13695,7.74861,12.7361,11.297,11.1272,11.0688,10.9678,10.729,10.4359,10.2249,10.0159,9.8232,9.64096,9.48774
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,561.562,588.638,574.695,599.536,595.296,640.186,592.912,550.867,538.884,538.797,541.532,530.788,598.135,612.688,624.281,610.425,659.72,665.176,636.597,604.659,606.947,626.977,608.807,578.587,607.21,603.191,622.642,630.171,647.176,658.246,670.908,679.869,688.487,698.923,709.5,719.96,730.41,740.976
% EMP,16.8089,17.4181,17.5154,17.8483,17.0591,17.5257,15.657,14.6622,14.2075,13.8552,13.6249,13.2371,14.7331,15.0113,15.207,14.7131,15.8575,15.3638,14.5829,13.801,13.5697,13.8463,13.5633,12.8122,13.193,13.273,13.4955,13.5654,13.8899,14.0864,14.3104,14.4527,14.5803,14.7391,14.8993,15.0605,15.2462,15.4612
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,92.1749,117.329,61.3021,60.5894,135.41,164.123,179.234,245.363,268.848,270.133,200.887,207.539,187.792,176.463,169.001,219.383,282.196,253.925,233.37,213.81,183.326,231.328,241.224,252.92,325.686,337.877,346.485,349.453,356.372,365.126,376.959,388.595,397.838,405.765,414.08,421.297,426.441,432.444
% EMP,10936.3,13848.9,25.2216,14.3116,20.7232,8.75156,10.5384,7.80883,8.39463,8.40814,6.23747,6.42638,5.74976,5.36849,5.13021,6.6333,8.4054,7.40012,6.55231,5.89262,4.94285,6.19163,6.17603,6.42186,8.19871,8.31131,8.42152,8.38871,8.52325,8.67113,8.88847,9.09806,9.24776,9.38744,9.53338,9.65075,9.71835,9.80354
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,122.398,124.916,128.822,132.62,32.7388,37.2221,13.2971,-6.32508,27.3374,38.9258,181.69,244.382,319.055,263.219,338.88,319.639,282.906,340.673,311.416,312.04,261.953,280.838,271.269,237.022,260.046,239.726,244.893,243.727,241.719,239.302,236.389,234.279,233.613,232.804,231.959,230.509,229.033,228.523
% EMP,3.78459,3.8688,4.03303,4.5092,0.721164,0.838291,0.304842,-0.147217,0.651574,0.940189,4.39642,5.95705,7.74305,6.36516,8.14888,7.68466,6.7251,7.9839,7.25401,7.22378,6.06887,6.49685,6.2361,5.50692,6.4267,5.90953,6.04529,6.0317,5.99506,5.94711,5.88533,5.84224,5.83515,5.82603,5.81876,5.79925,5.78183,5.7881
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,223.78,247.227,202.941,218.183,243.337,208.236,198.14,247.808,248.928,241.859,267.05,289.791,383.387,341.596,293.952,285.828,298.605,301.234,274.296,267.685,255.104,286.211,294.123,276.526,292.165,281.358,292.779,299.222,298.496,300.765,302.827,304.551,307.912,313.632,319.869,328.218,337.038,346.142
% EMP,5.65225,6.15448,5.25011,5.61808,6.24249,5.26336,4.98971,5.92452,5.96125,5.73215,6.21264,6.61238,8.62016,7.5143,6.41415,6.26986,6.51074,6.37726,5.80439,5.56554,5.13594,5.6706,5.75719,5.42391,5.74942,5.76006,5.94703,6.08701,6.02343,6.01511,6.00725,5.99211,6.00193,6.06535,6.14867,6.27179,6.40364,6.54115
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,38.8087,42.1915,39.8667,43.2582,40.9756,43.1485,37.4651,26.0495,28.4683,16.5609,55.3873,48.704,45.7052,48.1752,56.2269,54.8396,60.9099,63.0373,63.0565,68.3155,69.8925,63.6373,58.1597,70.0879,66.5201,71.6998,72.1116,73.7405,78.333,80.9177,82.9566,84.3603,85.6362,86.5891,87.0134,87.4492,88.2425,89.0927
% EMP,5331500,5812260,5269650,2703840,7437.17,49.8777,5.67223,4.50559,4.82239,2.74691,8.84354,7.84942,7.29316,7.71279,9.08789,9.05653,10.3903,10.9961,11.0072,11.2807,10.5461,10.0964,9.39041,9.01655,8.94206,9.22156,9.29113,9.32277,9.67639,9.86503,10.0608,10.1867,10.2957,10.4225,10.5217,10.6533,10.8289,11.0135
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
